Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Hank Aaron,117.0,1314.0,111.0,638.3333333333334,1.0,9,176.0,70.0,73.0,120.0,6.0,116.0,PDX BLAZE,,9.0,97.0,776.0
Hank Aaron,122.0,1475.0,157.0,1036.3333333333333,119.0,75,177.0,178.0,127.5,5.0,175.0,132.0,Team mattson,,82.5,120.0,1390.0
Hank Aaron,51.0,1450.0,102.5,1036.3333333333333,86.0,37,29.0,42.5,38.5,123.0,114.5,70.0,Bone Rollers,,148.0,75.0,757.0
Hank Aaron,48.0,1344.0,78.0,1029.6666666666667,46.0,18,129.0,67.5,60.0,136.0,91.5,16.0,NY Luckydogs,,61.0,74.0,671.0
Hank Aaron,55.0,1447.0,81.0,993.6666666666665,60.5,50,109.0,165.5,118.0,93.0,154.0,95.0,Hebrew Oilers,,33.5,10.0,881.5
Hank Aaron,11.0,1310.0,45.0,741.3333333333335,5.0,30,113.0,13.0,18.0,170.0,58.0,151.5,Team Giordano,,1.0,16.0,431.5
Hank Aaron,75.0,1362.0,6.0,1196.3333333333333,176.0,25,136.0,18.5,65.5,128.0,26.5,11.0,Steel City Brahmas,,148.0,69.0,731.5
Pete Rose,140.0,1465.0,171.0,1044.0,155.5,111,95.0,140.0,155.0,4.0,160.0,151.5,Team Mod,,148.0,132.0,1448.0
Pete Rose,78.0,1397.0,64.5,950.3333333333335,42.0,27,79.0,57.0,68.0,161.0,33.5,15.0,Florida Rats,,41.0,49.0,527.0
Pete Rose,178.0,1457.0,172.0,1054.3333333333333,114.0,39,150.0,173.0,161.5,2.0,170.5,145.0,Fighting Weasels,,75.5,177.0,1516.5
Pete Rose,14.0,1497.0,153.5,1070.0,105.0,66,163.0,172.0,178.0,62.0,62.0,58.0,Sweat Hogs,,101.5,35.0,1042.0
Pete Rose,25.0,1402.0,72.0,790.3333333333335,25.0,25,143.0,81.5,71.5,144.0,33.5,134.5,Lino Glengoyne,,17.0,36.0,639.0
Pete Rose,125.0,1312.0,39.0,786.0,19.0,25,50.0,8.0,7.5,148.5,42.5,173.5,The Cajuns 2,,19.5,126.0,610.0
Pete Rose,165.0,1369.0,132.5,785.3333333333335,17.5,20,22.0,30.0,137.0,126.0,2.0,112.5,Shea Bridge,,12.0,114.0,744.5
Pete Rose,124.0,1476.0,9.0,1048.0,77.0,59,92.0,99.5,43.0,79.0,174.0,90.5,Pine Tar Society,,75.5,155.0,939.5
Pete Rose,20.0,1433.0,84.5,1097.6666666666667,81.5,123,12.0,23.0,20.5,163.0,131.0,29.0,Disposable Heroes 9,,92.0,7.0,500.5
Pete Rose,49.0,1348.0,2.0,1016.6666666666665,60.5,31,166.0,44.0,20.5,152.0,117.5,49.0,Enuff Said,,38.0,50.0,596.5
Pete Rose,137.0,1387.0,92.0,1167.0,155.5,47,120.0,76.5,67.0,69.0,54.0,2.0,Team cywinski,,175.0,137.0,1016.0
Pete Rose,82.0,1423.0,32.0,1089.0,161.5,52,24.0,72.0,38.5,87.0,114.5,146.0,Team R,,155.5,71.0,897.0
Barry Bonds,96.0,1432.0,135.5,1052.0,123.5,63,119.0,129.0,142.0,42.0,26.5,132.0,Cellar  Door,,108.0,142.0,1153.5
