Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Oil Can Boyd,2.80338048,1447.0,235.0,966.3333333333335,1192.0,39,0.34931861,781.0,702.0,0,72.0,81.0,UNC Tar Heels,,73.0,1.02242152
Oil Can Boyd,4.16662565,1469.0,221.0,1354.3333333333333,1462.0,61,0.33355526,748.0,757.0,0,70.0,28.0,The Ringers,,73.0,1.25449175
Hank Aaron,3.33539222,1413.0,233.0,1079.3333333333333,1170.0,105,0.33027685,748.0,710.0,0,62.0,52.0,Team Vlad Guerrero,,77.0,1.14237183
Hank Aaron,3.42219578,1485.0,214.0,1120.3333333333333,1183.0,65,0.3281866,763.0,792.0,0,104.0,47.0,Team Special Sauce,,79.0,1.112169
Hank Aaron,3.16778116,1513.0,219.0,1096.6666666666667,1246.0,127,0.32321285,805.0,762.0,0,91.0,85.0,DocEllis Brigade,,76.0,1.10425532
Hank Aaron,3.56407563,1268.0,184.0,952.0,994.0,9,0.33255904,683.0,611.0,0,60.0,14.0,Team Ly 2,,71.0,1.13655462
Hank Aaron,4.04014599,1482.0,247.0,1004.6666666666665,1082.0,53,0.32442304,765.0,779.0,0,75.0,86.0,Trout  Sniffers,,56.0,1.25613802
Hank Aaron,3.62349869,1314.0,217.0,638.3333333333334,633.0,9,0.35068389,728.0,699.0,0,47.0,57.0,PDX BLAZE,,50.0,1.19060052
Hank Aaron,3.61273721,1475.0,240.0,1036.3333333333333,1150.0,75,0.35092608,867.0,747.0,0,123.0,67.0,Team mattson,,67.0,1.16468318
Hank Aaron,3.94274686,1450.0,214.0,1036.3333333333333,1083.0,37,0.32325501,704.0,659.0,0,85.0,45.0,Bone Rollers,,77.0,1.20714056
Hank Aaron,3.96827452,1344.0,206.0,1029.6666666666667,993.0,18,0.33810675,724.0,687.0,0,79.0,21.0,NY Luckydogs,,64.0,1.20815798
Hank Aaron,3.92183831,1447.0,207.0,993.6666666666665,1037.0,50,0.33586777,829.0,737.0,0,100.0,51.0,Hebrew Oilers,,59.0,1.28010735
Hank Aaron,4.27338129,1310.0,189.0,741.3333333333335,741.0,30,0.33634046,648.0,624.0,0,70.0,78.0,Team Giordano,,42.0,1.26258993
Hank Aaron,3.81415436,1362.0,158.0,1196.3333333333333,1345.0,25,0.33919736,668.0,692.0,0,61.0,16.0,Steel City Brahmas,,77.0,1.21203678
Pete Rose,3.49137931,1465.0,254.0,1044.0,1215.0,111,0.33399701,800.0,777.0,0,102.0,78.0,Team Mod,,77.0,1.14655172
Pete Rose,3.80708523,1397.0,199.0,950.3333333333335,975.0,27,0.33229415,715.0,694.0,0,62.0,19.0,Florida Rats,,61.0,1.22693792
Pete Rose,2.92791653,1457.0,256.0,1054.3333333333333,1146.0,39,0.34147975,851.0,789.0,0,112.0,74.0,Fighting Weasels,,66.0,1.05754031
Pete Rose,4.22242991,1497.0,239.0,1070.0,1119.0,66,0.34396245,849.0,845.0,0,71.0,39.0,Sweat Hogs,,69.0,1.24392523
Pete Rose,4.11092366,1402.0,204.0,790.3333333333335,906.0,25,0.34050812,738.0,697.0,0,62.0,68.0,Lino Glengoyne,,55.0,1.24124842
Pete Rose,3.59541985,1312.0,186.0,786.0,869.0,25,0.32720157,618.0,593.0,0,64.0,97.0,The Cajuns 2,,56.0,1.15648855
Pete Rose,3.23174873,1369.0,228.0,785.3333333333335,867.0,20,0.32187443,683.0,755.0,0,40.0,56.0,Shea Bridge,,52.0,1.17020374
Pete Rose,3.59828244,1476.0,166.0,1048.0,1070.0,59,0.3336619,754.0,663.0,0,122.0,50.0,Pine Tar Society,,66.0,1.1269083999999998
Pete Rose,4.14060128,1433.0,208.0,1097.6666666666667,1078.0,123,0.32007333,678.0,627.0,0,90.0,27.0,Disposable Heroes 9,,68.0,1.29000911
Pete Rose,3.95704918,1348.0,149.0,1016.6666666666665,1037.0,31,0.34543086,706.0,627.0,0,86.0,36.0,Enuff Said,,60.0,1.22655738
Pete Rose,3.51670951,1387.0,210.0,1167.0,1215.0,47,0.33699309,735.0,693.0,0,69.0,2.0,Team cywinski,,88.0,1.14395887
Pete Rose,3.79338843,1423.0,184.0,1089.0,1226.0,52,0.32261484,732.0,659.0,0,85.0,75.0,Team R,,78.0,1.21028466
Barry Bonds,3.71292776,1432.0,229.0,1052.0,1156.0,63,0.33696949,784.0,762.0,0,61.0,67.0,Cellar  Door,,70.0,1.14163498
Barry Bonds,3.97220339,1503.0,226.0,983.3333333333335,1095.0,83,0.32172029,753.0,803.0,0,85.0,50.0,Team OConnell,,66.0,1.23457627
Barry Bonds,3.61657262,1381.0,217.0,1122.3333333333333,1176.0,15,0.33211679,686.0,713.0,0,58.0,60.0,Killing  Me Smalls,,70.0,1.13780814
Barry Bonds,3.88235294,1443.0,216.0,969.0,1102.0,153,0.33453114,792.0,727.0,0,91.0,37.0,Team VladtheImpaler,,64.0,1.2373581
Barry Bonds,4.18309859,1377.0,190.0,1017.6666666666665,965.0,45,0.3374043,715.0,689.0,0,62.0,81.0,Strike 3,,69.0,1.28627579
Barry Bonds,4.30095403,1514.0,239.0,1153.0,1219.0,83,0.33751609,829.0,782.0,0,133.0,30.0,204 Iron Birds,,72.0,1.2567216
Barry Bonds,3.90950226,1467.0,238.0,1031.3333333333333,1116.0,48,0.32097711,754.0,711.0,0,69.0,52.0,Doctor Detroit II,,71.0,1.20523594
Barry Bonds,3.43911554,1474.0,231.0,1070.3333333333333,1104.0,124,0.34007833,820.0,746.0,0,113.0,56.0,90 Day Fiancés,,68.0,1.13516039
Barry Bonds,4.05866178,1397.0,167.0,1091.0,1109.0,76,0.31515712,652.0,590.0,0,66.0,33.0,Just Wandering,,64.0,1.25572869
Barry Bonds,3.86205798,1549.0,236.0,1046.3333333333333,1215.0,42,0.33900905,866.0,841.0,0,99.0,57.0,Slytherin Purebloods,,67.0,1.19942657
Barry Bonds,3.72162162,1235.0,170.0,986.6666666666665,1075.0,18,0.32181471,599.0,561.0,0,43.0,35.0,Woody's Warriors,,58.0,1.22331081
Barry Bonds,2.98896321,1420.0,204.0,996.6666666666665,983.0,74,0.33170567,787.0,711.0,0,98.0,70.0,Dire Wolves,,86.0,1.08461538
Babe Ruth,3.21644295,1463.0,232.0,1192.0,1193.0,64,0.32342132,734.0,776.0,0,66.0,47.0, Medias Rojas  De Boston,,66.0,1.13087248
Babe Ruth,3.02535211,1477.0,190.0,1065.0,1220.0,31,0.33489775,785.0,747.0,0,95.0,38.0,Moscow Doom,,77.0,1.06666667
Babe Ruth,4.20448635,1438.0,184.0,1025.3333333333333,1149.0,36,0.34217369,805.0,668.0,0,72.0,12.0,Florida NEWBIES,,63.0,1.27178153
Babe Ruth,3.4592928999999994,1430.0,180.0,1027.6666666666667,1161.0,36,0.31919296,671.0,687.0,0,77.0,50.0,Seto Kaiba,,78.0,1.12585144
Babe Ruth,3.51161248,1468.0,208.0,1004.6666666666665,1050.0,49,0.32815965,724.0,773.0,0,91.0,10.0,Brew  Crew ,,73.0,1.17053749
Babe Ruth,3.65899779,1438.0,208.0,1057.6666666666667,1150.0,59,0.33849862,762.0,702.0,0,77.0,52.0,London Plastics,,57.0,1.14875512
Babe Ruth,4.02229299,1463.0,271.0,942.0,988.0,109,0.33251191,825.0,807.0,0,92.0,96.0,Player Haters,,79.0,1.25902335
Babe Ruth,4.36424262,1430.0,189.0,1049.6666666666667,1130.0,114,0.31963309,671.0,638.0,0,83.0,57.0,Steal Your Base,,68.0,1.32422991
Babe Ruth,3.85882867,1289.0,227.0,762.6666666666665,767.0,17,0.34655005,681.0,654.0,0,63.0,30.0,IL 10,,49.0,1.25480769
Babe Ruth,3.68795691,1231.0,171.0,866.3333333333335,901.0,17,0.32056194,583.0,570.0,0,61.0,58.0,Woody's Wonders,,54.0,1.17622162
Babe Ruth,3.81015228,1384.0,212.0,985.0,949.0,32,0.33398611,775.0,752.0,0,69.0,71.0,Rockford Peaches,,70.0,1.27106599
Babe Ruth,3.36535714,1478.0,241.0,933.3333333333335,1077.0,22,0.33306189,821.0,734.0,0,112.0,103.0,Good Times Bad Times,,68.0,1.09071429
Lou Gehrig,4.031640299999999,1483.0,213.0,1201.0,1247.0,45,0.32648973,735.0,697.0,0,62.0,39.0,Team Ottley,,94.0,1.19733555
Lou Gehrig,3.85854545,1387.0,189.0,916.6666666666665,941.0,51,0.32611397,712.0,692.0,0,87.0,9.0,Kpax and the Ninja Banditos,,57.0,1.21963636
Lou Gehrig,3.5805255,1422.0,192.0,1078.3333333333333,1057.0,82,0.32137258,704.0,669.0,0,84.0,56.0,Autodrafters Anonymous,,67.0,1.1805255
Lou Gehrig,3.58016032,1491.0,196.0,998.0,1152.0,111,0.33555628,806.0,700.0,0,111.0,68.0,Yogurt Bazooka,,72.0,1.19639279
Lou Gehrig,3.69230769,1470.0,239.0,1014.0,1138.0,115,0.34011775,757.0,724.0,0,72.0,52.0,Sweat Caroline,,70.0,1.18639053
Lou Gehrig,3.53581571,1448.0,188.0,1056.3333333333333,1063.0,66,0.31807270000000004,692.0,721.0,0,81.0,80.0,Dick Butt,,66.0,1.13032502
Lou Gehrig,3.65822399,1460.0,271.0,1092.3333333333333,1160.0,50,0.33573705,879.0,805.0,0,103.0,51.0,Rickey Mantle,,66.0,1.24046384
Lou Gehrig,4.04814305,1403.0,223.0,1454.0,1414.0,36,0.34471289,795.0,687.0,0,70.0,28.0,Vermont Lake Monsters,,108.0,1.2221458
Lou Gehrig,4.06536329,1492.0,238.0,1142.3333333333333,1237.0,32,0.32802495,769.0,770.0,0,87.0,40.0,Team Dodson,,73.0,1.18004085
Lou Gehrig,3.25588235,1467.0,238.0,906.6666666666665,1078.0,68,0.34103374,818.0,800.0,0,80.0,83.0,Team persio,,65.0,1.14485294
Lou Gehrig,4.39946071,1362.0,163.0,865.3333333333335,886.0,56,0.35592599,716.0,655.0,0,53.0,97.0,Never Mind the  Pollocks,,58.0,1.26194145
Lou Gehrig,3.41446514,1369.0,209.0,769.6666666666665,806.0,5,0.31990434,688.0,695.0,0,72.0,22.0,Rural Jurors,,57.0,1.17063664
